Nama,Rating,Location,Entrance Fee
Garuda Wisnu Kencana,3.5,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 803.064.0",95000
Goa Gajah,3.5,"Jalan Raya Goa Gajah No.99 Kemenuh Sukawati, Pejeng Kawan, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80582",300
Gunung Agung,4.5,"kecamatan Rendang, Kabupaten Karangasem, Bali, Indonesia",25000
Gunung Batur,4.5,"Kecamatan Kintamani, Kabupaten Bangli, Bali, Indonesia",15000
Istana Air Taman Ujung,4.5,"Taman Ujung, Br. Dinas, Tumbu, Kec. Karangasem, Kabupaten Karangasem, Bali 80811",10000
Istana Puri Saren,3.5,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0
Jatiluwih Green Land,4.5,"Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152",400
Pantai Jimbaran,4,"Kecamatan Kuta selatan, kabupaten Badung, Provinsi Bali",0
Pabrik Kata-Kata Joger,4,"Jl. Raya Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 803.061",0
Kintamani Highland,4,"Jl. Raya Penelokan, Batur, Bangli, Kintamani 80518 Indonesia",25000
Krisna Oleh Oleh,4,"Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152",0
Monkey Forest Ubud,4,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",60000
Monumen Bajra Sandhi,4,"Jl. Raya Puputan No.14.02, Panjer, Denpasar Selatan, Kota Denpasar, Bali 8023.04.0",25000
Desa Wisata Penglipuran,4.5,"Jl. Desa Wisata Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",25000
Pantai Angel's Billabong,4,"Sakti, Kec. Nusa Penida, Kabupaten Klungkung, Bali",10000
Pantai Atuh,4.5,"Br. Pelilit, desa Pejukutan, Kecamatan Nusa Penida, Kabupaten. Klungkung – Bali",10000
Pantai Blue Lagoon,3.5,"Padangbai, Kec. Manggis, Kabupaten Karangasem, Bali 80871",0
Pantai Canggu,4,"Desa Canggu, Kecamatan Kuta Utara, Kabupaten Badung",0
Pantai Crystal Bay,4,"Desa Sakti, Kec. Penida, Kabupaten Klungkung",10000
Pantai Diamond,5,"Pejukutan, Kec. Nusa Penida, Kabupaten Klungkung, Bali",10000
Pantai Double Six,4,"Legian, Jalan Double Six, Kelurahan Seminyak, Kecamatan Kuta, Badung",0
Pantai Dreamland,4,"Jl. Raya Pecatu Bukit Jimbaran Bukit Peninsula, Kuta 803.063.0 Indonesia",0
Pantai Kelingking,4.5,"Bunga Mekar, Kec. Nusa Penida, Kabupaten Klungkung, Bali",5000
