Nama,Rating,Location,Open,Close,Foto
vanda baju bali,5.0,"Gg. Asem VII Blk. A No.3a, Tegal Harum,Kota Denpasar, Bali 80119",08.05,16.00,https://lh5.googleusercontent.com/p/AF1QipOBxw0gvr62JX62w9pC5NSkEjQnrr5Bpny0e0oF=w80-h92-k-no
Baju Bali Murah,5.0,"Jl. Tukad Irawadi Gg. X No.10, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80225",09.00,18.00,https://lh5.googleusercontent.com/p/AF1QipOp2TS7n8BMkifGIuaSaIgxU7xvEIwJpH8mdAEb=w163-h92-k-no
Toko Baju Sintia,4.3,"Jl. Wibisana Bar. No.69, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111",08.30,22.00,https://lh5.googleusercontent.com/p/AF1QipN-tOgE1x58lYHNdOMIi3W-IfNatj0idt8mb6KZ=w426-h240-k-no
Local Fruit And Vegetable Market,4.5,"Jl. Raya Taman No.88, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",09.00,22.30,https://lh5.googleusercontent.com/p/AF1QipON99o3yKgRjWVYjaoPN4wddsNBh50-dYBHMo4C=w408-h725-k-no
Pasar Pudak Batu Bulan,4.2," Jl. Pudak, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",02.00,23.00,https://lh5.googleusercontent.com/p/AF1QipNd0uUtwpT_iNjQTKuTZLzeY9hB_XJFvat1pM2g=w408-h306-k-no
Pasar Sari Murni,4.5,"Jl. Kebo Iwa Utara No.47, Padangsambian Kaja, Kec. Denpasar Barat,Kota Denpasar, Bali 80117",04.00,21.00,https://lh5.googleusercontent.com/p/AF1QipPYqJQBne1SgXugTTkUOUxa8obugK0mDiIDzfwq=w408-h306-k-no
Pasar Desa Pakraman Panjer,4.5,"Jl. Tukad Pakerisan No.55A, Dauh Puri Klod, Denpasar Selatan, Kota Denpasar, Bali 80225",05.30,17.00,https://lh5.googleusercontent.com/p/AF1QipP4x-_pANHoib48_R0kNOWu0YB_ezIaOVJUmVyo=w408-h306-k-no
Pasar Senggol Sukawati,4.5,"WANTILAN Pura Kahyangan Jagat Penataran Agung, Jl. Raya Sukawati Banjar Mudita No.18x, Sukawati, Gianyar Regency, Bali 80582",16.00,23.30,https://lh5.googleusercontent.com/p/AF1QipM_L8mXWoQLel_se1crQEmhj1n7U5cyskxPTR9E=w426-h240-k-no
Pasar Desa Pakraman Padangsambian,4.5,"Jl. Tangkuban perahu III No.16, Padangsambian, Kec. Denpasar Barat,Kota Denpasar, Bali 80118",05.00,11.00,https://lh5.googleusercontent.com/p/AF1QipPyDJueN-vqquHGf1m5koyyBhARmEn567IfKS-3=w426-h240-k-no
Pasar Kerta Waringin Anggabaya,4.4,"Penatih,Kota Denpasar",02.00,23.59,https://lh5.googleusercontent.com/p/AF1QipMybXuJNWYDx5J4dXt6Z61aLKl5u0zRdsVMdamg=w426-h240-k-no
