Nama,Ratings,Foto,Makanan,Location
Warung Jawa Muslim Blora,4.6,https://lh5.googleusercontent.com/p/AF1QipNjXJeMAsQBS-qQdSbLwP8oLDEIsUCEs8Q1kCTi=w122-h92-k-no,Halal,"Jl. Nangka Utara No.338, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80239"
Warung Makan Muslim Mbak Sri,4,https://lh5.googleusercontent.com/p/AF1QipOg5Rzck6ce8qSmoeGZuUs8ThVqHZdrPmMqHjJ7=w92-h92-k-no,Halal,"Jl. Gunung Salak, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Warung Muslim Ferdy,4.4,https://lh5.googleusercontent.com/p/AF1QipM9tk3QCJKedc1x4sgbU545ZXPBBwFBYYPicyDf=w122-h92-k-no,Halal,"Jl. Buana Raya No.45, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80118"
Warung Muslim Doyok,4.5,https://lh5.googleusercontent.com/p/AF1QipOKvhD9dhpXNo_RPqKEX84Zx4iQDO4_hM064DKV=w80-h106-k-no,Halal,"Jl. Ceroring No.2, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232"
Warung muslim Green Samawa,4.6,https://lh5.googleusercontent.com/p/AF1QipNoL2vcApdMm1dpOAXi3bQufXW4MhMoaG6dFEz5=w122-h92-k-no,Halal,"Jl. Pura Demak No.88, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
WARUNG MAILA,4.7,https://lh5.googleusercontent.com/p/AF1QipNLbA8D5-SsMch0BqZ2wO-d2olLKFwgeowC15j2=w92-h92-k-no,Halal,"Jl. Gunung Salak No.207, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Warung Muslim Barokah Banyuwangi,4.3,https://lh5.googleusercontent.com/p/AF1QipOEETDmTfbYnW3z4LT1lJNCyNdlsNJsQcB0W-ys=w80-h106-k-no,Halal,"Jl. Gn. Tangkuban Perahu No.267, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Kedai Muslim Banyumas,4.4,https://lh5.googleusercontent.com/p/AF1QipM6PYTP863yzImeuQq2fD4v_kLyNNnUOO7442F0=w163-h92-k-no,Halal,"Jl. Gunung Batukaru No.48, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80112"
Warung Muslim Spesial,4.3,https://lh5.googleusercontent.com/p/AF1QipM-qv9UthV7z9z2IpO1vzzKLm9Ty63jY_qoyvhv=w163-h92-k-no,Halal,"Jl. Gatot Subroto IV No.8, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80322"
Warung Muslim Sego Tempong,3.5,https://lh5.googleusercontent.com/p/AF1QipM2F_XeoAFv5lDb1G4nthffZXY6lbyH8Kkio5Dk=w194-h92-k-no,Halal,"Jl. Pulau Bungin, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80114"
Warteg Muslim,4.4,https://lh5.googleusercontent.com/p/AF1QipMXONyYrst_3d_xKRTXrK6IM1SYndjZbBFY7lNk=w80-h133-k-no,Halal,"Jl. Ahmad Yani Utara No.224, Peguyangan, Kec. Denpasar Utara, Kota Denpasar, Bali 80115"
Warung Jawa Muslim Rena,4.2,https://lh5.googleusercontent.com/p/AF1QipMIiTYWl2w9fg-yO4_n_Pi9Zhq9lEgmDkYcmhb9=w122-h92-k-no,Halal,"Jl. Pulau Bungin No.112, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221"
ratjik bali,4.6,https://lh5.googleusercontent.com/p/AF1QipPUZWmp4bq0D7xrgEB-rEtdemxDN1_R5vufaGTN=w122-h92-k-no,Halal,"Jl. Raya Basangkasa No.38, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Muslim Bu Titin,4.4,https://lh5.googleusercontent.com/p/AF1QipP98ULKrAaDgixl3JQiLFkHohH5ZjFvUPtNdNAc=w162-h92-k-no,Halal,"Jl. Pulau Misol Gg. I No.36, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
WARUNG MUSLIM PAK LALU,5,https://lh5.googleusercontent.com/p/AF1QipM2Rk7fjVv9EeFKQ_bz3qq9VHgXuBsfRRX0Y-2O=w122-h92-k-no,Halal,"Batur Sel., Kec. Kintamani, Kabupaten Bangli, Bali 80652"
Agen Bakso Oye Bali (Halal),5,https://lh5.googleusercontent.com/p/AF1QipNIhPqUtDpYeGkakdiD2YTWHQuDlboK5mlwkLCf=w80-h106-k-no,Halal,"Jl. Muding Buit Gg. Rahayu I No.1, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80117"
Warung Ijo Ubud (Indonesian Home Cooking),4.4,https://lh5.googleusercontent.com/p/AF1QipPE3ChhkqFMi1OdQ8TxaqcQwIrOrfw_anzxXgsm=w80-h106-k-no,Halal,"Jl. Raya Ubud No.39, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571"
Warung makan muslim MEKAR SARI,5,https://lh5.googleusercontent.com/p/AF1QipM_2T5TmwDmC10cq3t6qTm9I3kPJPlTZBzEqSgw=w122-h92-k-no,Halal,"Jl. Raya Padang Luwih No.16, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361"
Angkringan Pasbur Triple R,4.3,https://lh5.googleusercontent.com/p/AF1QipP3dP7nTFFnXc1WBdM3YVNUSxTaICzjMG_NcIb1=w122-h92-k-no,Halal,"Pasar Burung Sanglah, Jl. Serma Made Pil, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali"
Warung Muslim Zaenab,4.6,https://lh5.googleusercontent.com/p/AF1QipPw26_B1rZWYzGDtQYU3hGiRtR1uixI1hgC6VSo=w122-h92-k-no,Halal,"Jl. Raya Sesetan No.115, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80225"
Warung Muslim Nasi Kuning,4,https://lh5.googleusercontent.com/p/AF1QipNaQhtqKiugGcbhYCDTBjV58rrYzrw8_ZMMW8zh=w92-h92-k-no,Halal,"Jl. Diponegoro, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Warung Lalapan Muslim Bu Eka,4.3,https://lh5.googleusercontent.com/p/AF1QipMEBDYkfUiOxHY6O8P9dIpJI2JQBHAGa7vyLMwU=w163-h92-k-no,Halal,"South Denpasar, Jl. Gunung Salak, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Warung Muslim Masakan Padang,5,https://lh5.googleusercontent.com/p/AF1QipN3rUdCAu-mOkFU2rJAbJa-OevuV2hlxbowi1wX=w80-h106-k-no,Halal,"Jl. Buana Raya No.22, Padang Sambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
WR Muslim Lalapan BABA KEMAL Ikan Bakar & Ayam Bakar,4.4,https://lh5.googleusercontent.com/p/AF1QipOHsmwv3YwrXIHS-8RnQLoJjE3nFszecAo5zfjC=w121-h92-k-no,Halal,"Jl. Gn. Soputan, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Warung Muslim Ojo Lali,4.7,https://lh5.googleusercontent.com/p/AF1QipN4OKanQszE1_2ODbZdx4pCqKu4fys_4wI2RF77=w122-h92-k-no,Halal,"Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Rumah Makan Muslim Sm,4.3,https://lh5.googleusercontent.com/p/AF1QipMBk0xHm0YGLnf_UNCLtkYY99gIj8GbvbxM5v00=w80-h106-k-no,Halal,"Jalan Raya Denpasar Gilimanuk, Samsam, Kerambitan, Samsam, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161"
Eat Time Bali,4.7,https://lh5.googleusercontent.com/p/AF1QipNRi-BpHOYVh4rsEE_964M0djpsvJu4KIMRsUYC=w80-h142-k-no,Halal,"Ubung, Kec. Denpasar Utara, Kota Denpasar, Bali 80116"
Warung muslim pak mul,5,https://lh5.googleusercontent.com/p/AF1QipMtYB_3EMn_hDXgy-3MiQdppOh8jUG3inF038Eh=w80-h106-k-no,Halal,"Gg. Damar, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80114"
